restaurant_title,restaurant_phoneNumber,restaurant_address,restaurant_numReview,restaurant_starCount,restaurant_price,restaurant_category,restaurant_district,restaurant_web
Upstate,(646) 791-5400,95 1st Ave,1778,4.5,$$,"['Seafood', 'Wine Bars', 'Beer Bar']",East Village,https://www.yelp.com/biz/upstate-new-york-2?osq=Restaurants
Amélie,(212) 533-2962,22 W 8th St,2560,4.5,$$,"['French', 'Wine Bars']",Greenwich Village,https://www.yelp.com/biz/am%C3%A9lie-new-york?osq=Restaurants
LoveMama,(347) 394-5085,174 2nd Ave,4530,4.5,$$,"['Thai', 'Malaysian', 'Vietnamese']",East Village,https://www.yelp.com/biz/lovemama-new-york?osq=Restaurants
Thai Villa,(212) 802-9999,5 E 19th St,2855,4.5,$$,"['Thai', 'Asian Fusion']",Flatiron,https://www.yelp.com/biz/thai-villa-new-york-2?osq=Restaurants
Burger & Lobster,(646) 833-7532,39 W 19th St,5260,4,$$,"['Seafood', 'Burgers', 'American (New)']",Flatiron,https://www.yelp.com/biz/burger-and-lobster-new-york-4?osq=Restaurants
Trattoria Trecolori,(212) 997-4540,254 West 47th St,2234,4,$$,['Italian'],Theater District,https://www.yelp.com/biz/trattoria-trecolori-new-york?osq=Restaurants
Aunt Jake’s,(646) 858-0470,149 Mulberry St,1343,4,$$,"['Italian', 'Wine Bars', 'Pasta Shops']",Little Italy,https://www.yelp.com/biz/aunt-jakes-new-york?osq=Restaurants
Ipanema Restaurant,(646) 791-7171,43 W 46th St,1293,4,$$,"['Brazilian', 'Portuguese', 'Steakhouses']",Midtown West,https://www.yelp.com/biz/ipanema-restaurant-new-york?osq=Restaurants
Barn Joo 35,(212) 564-4430,34 W 35th St,1709,4.5,$$,"['Korean', 'Gastropubs', 'Tapas/Small Plates']",Midtown West,https://www.yelp.com/biz/barn-joo-35-new-york?osq=Restaurants
Jacob’s Pickles,(212) 470-5566,509 Amsterdam Ave,3886,4,$$,"['Comfort Food', 'Southern', 'American (Traditional)']",Upper West Side,https://www.yelp.com/biz/jacobs-pickles-new-york?osq=Restaurants
Boucherie West Village,(347) 353-1619,99 7th Ave S,1247,4.5,$$$,"['French', 'Cocktail Bars', 'Steakhouses']",West Village,https://www.yelp.com/biz/boucherie-west-village-new-york-3?osq=Restaurants
Chama Mama,(646) 438-9007,149 W 14th St,144,4.5,$$,['Georgian'],Chelsea,https://www.yelp.com/biz/chama-mama-new-york?osq=Restaurants
Anytime,(646) 669-7733,23 W 32nd St,889,4.5,$$,"['Korean', 'American (New)', 'Tapas/Small Plates']",Koreatown,https://www.yelp.com/biz/anytime-new-york?osq=Restaurants
Uglyduckling,(718) 451-3825,166 Smith St,457,4,$$,"['American (Traditional)', 'Gastropubs']",Cobble Hill,https://www.yelp.com/biz/uglyduckling-brooklyn?osq=Restaurants
Ainslie,(347) 725-3400,76 Ainslie St,14,4.5,-,[],Williamsburg - North Side,https://www.yelp.com/biz/ainslie-brooklyn-2?osq=Restaurants
Clinton Street Baking Company,(646) 602-6263,4 Clinton St,4838,4,$$,"['Bakeries', 'Breakfast & Brunch', 'American (Traditional)']",Lower East Side,https://www.yelp.com/biz/clinton-street-baking-company-new-york-5?osq=Restaurants
THEP Thai Restaurant,(212) 899-9995,1439 2nd Ave,715,4.5,$$,"['Thai', 'Noodles', 'Asian Fusion']",Upper East Side,https://www.yelp.com/biz/thep-thai-restaurant-new-york-5?osq=Restaurants
Jajaja,(646) 883-5453,162 E Broadway,788,4.5,$$,"['Mexican', 'Vegan', 'Bars']",Lower East Side,https://www.yelp.com/biz/jajaja-new-york?osq=Restaurants
Bea,(212) 602-1910,403 W 43rd St,2371,4,$$,"['American (New)', 'Cocktail Bars']",Midtown West,https://www.yelp.com/biz/bea-new-york?osq=Restaurants
